Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22uF,
"C10, C11, C12, C3, C4, C5, C6, C7, C8, C9",0603,10,1uF,C52923
"C13, C24, C25, C27, C29, C30, C32, C33, C35, C36",0603,10,100nF,C1525
C14,0603,1,100nF,
C2,0805,1,10uF,
"D31, D32, D33, D34, D35, D36, D37, D38, D39, D40",0603,10,LED,
J1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"J10, J11, J2, J3, J4, J5, J6, J7, J8, J9","PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical",10,Screw_Terminal_01x02,
J14,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J15, J19",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,
J16,PinHeader_1x01_P1.27mm_Vertical,1,Conn_01x01_Pin,
J17,PinHeader_1x08_P1.27mm_Vertical,1,Conn_01x08_Pin,
J18,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04_Pin,
P1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Plug_USB2.0,
"R1, R2",0603,2,5.1kΩ,C27834
"R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R5",0603,22,4.7kΩ,C25900
"R53, R54, R55, R56, R57, R58, R59, R60, R61, R62",0603,10,220,
R7,0603,1,10kΩ,C25744
"SW1, SW2",SW_SPST_FSMSM,2,SW_SPST,
"U10, U11, U12, U13, U15, U16, U7, U8, U9",driver_footprint_maybe,9,DRV2605LDGSR,C527464
U14,SOP50P490X110-10N,1,DRV2605LDGSR,C527464
U2,SOT-223-3_TabPin2,1,AP1117-33,
"U3, U4",TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,2,TCA9548APWR,C130026
U5,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
